kosisCode,adminCode
11010,11010
11020,11020
11030,11030
11040,11040
11050,11050
11060,11060
11070,11070
11080,11080
11090,11090
11100,11100
11110,11110
11120,11120
11130,11130
11140,11140
11150,11150
11160,11160
11170,11170
11180,11180
11190,11190
11200,11200
11210,11210
11220,11220
11230,11230
11240,11240
11250,11250
21010,26010
21020,26020
21030,26030
21040,26040
21050,26050
21060,26060
21070,26070
21080,26080
21090,26090
21100,26100
21110,26110
21120,26120
21130,26130
21140,26140
21150,26150
21510,26310
22010,27010
22020,27020
22030,27030
22040,27040
22050,27050
22060,27060
22070,27070
22510,27310
22520,27320
23010,28010
23020,28020
23040,28040
23050,28050
23060,28060
23070,28070
23080,28080
23090,28030
23510,28310
23520,28320
24010,29010
24020,29020
24030,29030
24040,29040
24050,29050
25010,30010
25020,30020
25030,30030
25040,30040
25050,30050
26010,31010
26020,31020
26030,31030
26040,31040
26510,31310
29010,36010
31011,41010
31012,41010
31013,41010
31014,41010
31021,41020
31022,41020
31023,41020
31030,41030
31041,41040
31042,41040
31051,41050
31052,41050
31053,41050
31060,41060
31070,41070
31080,41080
31091,41090
31092,41090
31101,41100
31103,41100
31104,41100
31110,41110
31120,41120
31130,41130
31140,41140
31150,41150
31160,41160
31170,41170
31180,41180
31191,41190
31192,41190
31193,41190
31200,41200
31210,41210
31220,41220
31230,41230
31240,41240
31250,41250
31260,41260
31270,41270
31280,41280
31550,41310
31570,41320
31580,41330
32010,51010
32020,51020
32030,51030
32040,51040
32050,51050
32060,51060
32070,51070
32510,51310
32520,51320
32530,51330
32540,51340
32550,51350
32560,51360
32570,51370
32580,51380
32590,51390
32600,51400
32610,51410
33020,43020
33030,43030
33041,43010
33042,43010
33043,43010
33044,43010
33520,43310
33530,43320
33540,43330
33550,43340
33560,43350
33570,43360
33580,43370
33590,43380
34011,44010
34012,44010
34020,44020
34030,44030
34040,44040
34050,44050
34060,44060
34070,44070
34080,44080
34510,44310
34530,44320
34540,44330
34550,44340
34560,44350
34570,44360
34580,44370
35011,45010
35012,45010
35020,45020
35030,45030
35040,45040
35050,45050
35060,45060
35510,45310
35520,45320
35530,45330
35540,45340
35550,45350
35560,45360
35570,45370
35580,45380
36010,46010
36020,46020
36030,46030
36040,46040
36060,46050
36510,46310
36520,46320
36530,46330
36550,46340
36560,46350
36570,46360
36580,46370
36590,46380
36600,46390
36610,46400
36620,46410
36630,46420
36640,46430
36650,46440
36660,46450
36670,46460
36680,46470
37011,47010
37012,47010
37020,47020
37030,47030
37040,47040
37050,47050
37060,47060
37070,47070
37080,47080
37090,47090
37100,47100
37520,47310
37530,47320
37540,47330
37550,47340
37560,47350
37570,47360
37580,47370
37590,47380
37600,47390
37610,47400
37620,47410
37630,47420
38030,48020
38050,48030
38060,48040
38070,48050
38080,48060
38090,48070
38100,48080
38111,48010
38112,48010
38113,48010
38114,48010
38115,48010
38510,48310
38520,48320
38530,48330
38540,48340
38550,48350
38560,48360
38570,48370
38580,48380
38590,48390
38600,48400
39010,50010
39020,50020
